Hospital_Name,Location,Location_Coordinates,State,District,Discipline_Systems_of_Medicine,Lat,Lon
Community Health Centre,Daulatpur,"31.7747487, 75.9985446",Himachal Pradesh,Una,Allopathic,31.7747487,75.9985446
Community Health Centre,Gagret,"31.6622025, 76.0594972",Himachal Pradesh,Una,Allopathic,31.6622025,76.0594972
Community Health Centre,Haroli,"31.422338, 76.2319793",Himachal Pradesh,Una,Allopathic,31.422338,76.2319793
Community Health Centre,Amb,"31.6798005, 76.1174988",Himachal Pradesh,Una,Allopathic,31.6798005,76.1174988
District Ayurvedic Hospital,Una,"31.468445, 76.2707745",Himachal Pradesh,Una,Ayush/ Ayurveda,31.468445,76.2707745
Primary Health Centre,Amlehar,"31.7504338, 76.0769825",Himachal Pradesh,Una,Allopathic,31.7504338,76.0769825
Regional Hospital,Una,"31.468445, 76.2707745",Himachal Pradesh,Una,Allopathic,31.468445,76.2707745
"Kullu Valley Hospital, Kullu",Shashtri Nager,"31.9560442, 77.1112605",Himachal Pradesh,Kullu,Allopathic,31.9560442,77.1112605
SDKL Memorial Gloda Hospital,93 Roop Nager Ward Number 9,"32.7733349, 74.8397332",Himachal Pradesh,Hamirpur,Allopathic,32.7733349,74.8397332
Parvati Charitable Hospital,"Village- Dashmal, P.O.Dimmi","31.6807826, 76.6205621",Himachal Pradesh,Hamirpur,Allopathic,31.6807826,76.6205621
Sai Mahima Shukla Hospital,Ram Nager,"32.0998031, 76.2691006",Himachal Pradesh,Kangra,Allopathic,32.0998031,76.2691006
Mela Mal Sood Rotary Eye Hospital,Kangra,"32.0998031, 76.2691006",Himachal Pradesh,Kangra,Allopathic,32.0998031,76.2691006
"Sood Nursing Home, Chahri","Chahri Road, Nagrota Bagwan","32.1053971, 76.3789037",Himachal Pradesh,Kangra,Allopathic,32.1053971,76.3789037
Dr.V.K.Mahajan Clinic Diagnostic and Treatment Centre,Opposite SBP,"32.0998031, 76.2691006",Himachal Pradesh,Kangra,Allopathic,32.0998031,76.2691006
Dr.Vijay Chaudhary Hospital,Near Income Tax Office,"12.9246632, 80.1144076",Himachal Pradesh,Kangra,Allopathic,12.9246632,80.1144076
Kapila Nursing Home,Baijnath Road,"32.0998031, 76.2691006",Himachal Pradesh,Kangra,Allopathic,32.0998031,76.2691006
Karan Hospital,Ghuggar Tanda,"32.0946489, 76.5300365",Himachal Pradesh,Kangra,Allopathic,32.0946489,76.5300365
Kashmiri?s Dental Clinic,110 Lower Depot Bazar,"17.4274818, 78.4998505",Himachal Pradesh,Kangra,Allopathic,17.4274818,78.4998505
Khanna Clinic,Civil Line,"32.0998031, 76.2691006",Himachal Pradesh,Kangra,Allopathic,32.0998031,76.2691006
Panchsheel Nursing Home Private Limited,Near Railway Station,"32.0998031, 76.2691006",Himachal Pradesh,Kangra,Allopathic,32.0998031,76.2691006
Pathania Dental Clinic,"Near Rainbow School, Barol (Dari)","31.301887, 75.57624",Himachal Pradesh,Kangra,Allopathic,31.301887,75.57624
R.K.Nursing Home,Birta,"32.115883, 76.2899071",Himachal Pradesh,Kangra,Allopathic,32.115883,76.2899071
Mahajan Medical and Health Care Centre,Shyamnager,"32.0998031, 76.2691006",Himachal Pradesh,Kangra,Allopathic,32.0998031,76.2691006
Verma Dental Clinic,Opposite SBP Kangra,"32.0998031, 76.2691006",Himachal Pradesh,Kangra,Allopathic,32.0998031,76.2691006
Banga Associated Hospital (Eye Hospital),Dadour Ner Chowk,"31.6085219, 76.9153281",Himachal Pradesh,Mandi,Allopathic,31.6085219,76.9153281
Banga Diagnostic,Jail Road,"31.7037018, 76.9259812",Himachal Pradesh,Mandi,Allopathic,31.7037018,76.9259812
Mandav Hospital,Jail Road,"31.7037018, 76.9259812",Himachal Pradesh,Mandi,Allopathic,31.7037018,76.9259812
Sanjeevan Hospital,134/5 Mandi,"31.7086338, 76.9275225",Himachal Pradesh,Mandi,Allopathic,31.7086338,76.9275225
Kailash Clinic Mandi,Near Chanderlok Chobatta Bazar,"31.7101213, 76.9325094",Himachal Pradesh,Mandi,Allopathic,31.7101213,76.9325094
"H.S.Malhotra Clinic, Mandi","91/8, Bhut Nath Bazar","31.7104853, 76.9320314",Himachal Pradesh,Mandi,Allopathic,31.7104853,76.9320314
Tooth Care Dental Clinic andOrthodontics Centre,82/10 Post Office Road,"35.5234157, -79.1613046",Himachal Pradesh,Mandi,Allopathic,35.5234157,-79.1613046
Jagriti Medical Centre,Purani Mandi Near Middle School,"31.0157458, 73.8521521",Himachal Pradesh,Mandi,Allopathic,31.0157458,73.8521521
Vinayak Eye Hospital,Near Gurudwara Nerchowk,"31.4655589, 76.2658077",Himachal Pradesh,Mandi,Allopathic,31.4655589,76.2658077
"Dr.Suman Heart Centre, The Ridge Shimla",The Ridge,"31.1047025, 77.1739595",Himachal Pradesh,Shimla,Allopathic,31.1047025,77.1739595
"Indus Hospital, Shimla",Jakhoo,"31.1048145, 77.1734033",Himachal Pradesh,Shimla,Allopathic,31.1048145,77.1734033
"Neuro Centre, Shimla","Keyonthal Complex, Khalini","31.0902089, 77.1709387",Himachal Pradesh,Shimla,Allopathic,31.0902089,77.1709387
Navjeevan Nursing Home,Rajgarh Road,"30.892449, 77.1056296",Himachal Pradesh,Solan,Allopathic,30.892449,77.1056296
Nanda Hospital,Hamirpur Road,"31.4809485, 76.2731142",Himachal Pradesh,Una,Allopathic,31.4809485,76.2731142
"Government Medical College, Jammu","Government Medical College, 
Bakshi Nagar","32.7378396, 74.849251",Jammu and Kashmir,Jammu,Allopathic,32.7378396,74.849251
Dr. K.D's Eye Hospital,"513- C, Sainik Colony","29.8635857, 77.8824892",Jammu and Kashmir,Jammu,Allopathic,29.8635857,77.8824892
Santosh Eye Care Centre,373 Shastri Nagar,"32.7217819, 74.8576539",Jammu and Kashmir,Jammu,Allopathic,32.7217819,74.8576539
Sri Maharaja Gulab Singh ( SMGS) Hospital,"Shalamar, Resham Ghar Colony","32.7304089, 74.8616782",Jammu and Kashmir,Jammu,Allopathic,32.7304089,74.8616782
"Centre For Sight, Trikuta Nagar","67, Sector-6, Trikuta Nagar","32.6883714, 74.9011466",Jammu and Kashmir,Jammu,Allopathic,32.6883714,74.9011466
Sher-i-Kashmir Institute of Medical Sciences,"Sher - i - Kashmir Institute of Medical Sciences Soura, Srinaga","34.1375809, 74.803372",Jammu and Kashmir,Srinagar,Allopathic,34.1375809,74.803372
"Government Medical College, Srinagar",Karan Nagar,"34.1255413, 74.9442585",Jammu and Kashmir,Srinagar,Allopathic,34.1255413,74.9442585
Patliputra Medical College and Hospital,"Patliputra Medical College, BCCL Township","19.1503529, 72.8373754",Jharkhand,Hazaribag,Allopathic,19.1503529,72.8373754
Rajendra Institute of Medical Sciences,"Rajendra Medical College and Hospital, Rajendra Institute of Medical Sciences Bariatu, Ranchi, Jharkhand","23.4004584, 85.3555111",Jharkhand,Ranchi,Allopathic,23.4004584,85.3555111
St.John's Medical College Hospital,"Sarjapur Road, John Nagar, Koramangala","12.9309785, 77.6199608",Karnataka,Bengaluru Urban,Allopathic,12.9309785,77.6199608
CGHS Dispensary No.7,"CGHS Dispensary No.7, Koramangala, CPWD
Quarters, Koramangala","12.9279232, 77.6271078",Karnataka,Bengaluru Urban,Allopathic,12.9279232,77.6271078
CGHS Dispensary No.8,"CGHS Dispensary No.8, Domlur, CPWD Quarters, Domlur","12.9609857, 77.6387316",Karnataka,Bengaluru Urban,Allopathic,12.9609857,77.6387316
Aayugs Multispeciality Hospital,"477, 1st Main, B Block","30.5781488, -91.1700371",Karnataka,Bengaluru Urban,Allopathic,30.5781488,-91.1700371
"Abhaya Eye Hospital, Super Speciality Eye Care Centre","77, 100 Ft.Ring Road, B.S.K.3rd Stage, 5th Block","12.9247325, 77.6186378",Karnataka,Bengaluru Urban,Allopathic,12.9247325,77.6186378
Abhishek Netradhama,"HIG 2024, 3rd B Cross, B Sector, Opposite national public school, Near SBI Bank Yelahanka new town","13.1042445, 77.5713193",Karnataka,Bengaluru Urban,Allopathic,13.1042445,77.5713193
Acura Speciality Hospital,"435, Acura Hospital, 18th Main, 6th Block, Koramangala","12.9279232, 77.6271078",Karnataka,Bengaluru Urban,Allopathic,12.9279232,77.6271078
Apollo Bengaluru Cradle Limited,"No.25, 46th Cross, 5th Block, Jayanagar, Bengaluru","12.9167863, 77.5851803",Karnataka,Bengaluru Urban,Allopathic,12.9167863,77.5851803
Apollo Speciality Hospital,"21/2, 14th Cross, 3rd Block, Jayanagar","12.9587626, 77.5235076",Karnataka,Bengaluru Urban,Allopathic,12.9587626,77.5235076
Athreya Hospital,"6/2 B, Opposite Suryanagara, Phase 1, Chandpura, Anekal Main Road","12.7943073, 77.7064163",Karnataka,Bengaluru Urban,Allopathic,12.7943073,77.7064163
"Bengaluru Hospital, Susruta Medical Aid And
Research Home Limited","202, R.V.Road","12.9715987, 77.5945627",Karnataka,Bengaluru Urban,Allopathic,12.9715987,77.5945627
Bengaluru Kidney Stone Hospital,Hudson Circle,"12.9715987, 77.5945627",Karnataka,Bengaluru Urban,Allopathic,12.9715987,77.5945627
Bengaluru West Lions Hospital,J.C.Road,"12.9715987, 77.5945627",Karnataka,Bengaluru Urban,Allopathic,12.9715987,77.5945627
Bhagawan Mahaveer Jain Heart Centre,"No.17, Millers Road, Vasantha Nagar","12.9911307, 77.5937662",Karnataka,Bengaluru Urban,Allopathic,12.9911307,77.5937662
Bharath Nursing Home,"No 1402, Sarakki Gate, J P Nagar, 1st Phase, K.P.Main Road","12.911103, 77.57314",Karnataka,Bengaluru Urban,Allopathic,12.911103,77.57314
Bharathy Hospital,"4, Nagarbhavi Main Road, Prasanthnagar","12.9761414, 77.5326436",Karnataka,Bengaluru Urban,Allopathic,12.9761414,77.5326436
Chinmaya Mission Hospital,"1st stage, Indiranagar","12.9782591, 77.6448425",Karnataka,Bengaluru Urban,Allopathic,12.9782591,77.6448425
Chinmaya Narayana Super Specialty Centre,"C.M.H.Road, Indiranagar, 2nd Stage","12.9783012, 77.6379484",Karnataka,Bengaluru Urban,Allopathic,12.9783012,77.6379484
Chord Road Hospital Pvt Ltd,"100/101, Lic Colony West Of Chord, Basaveshwaranagar","12.9956355, 77.5504955",Karnataka,Bengaluru Urban,Allopathic,12.9956355,77.5504955
"Cloud Nine, Jayanagar","1533, 9th Main, 
3rd Block, Jayanagar","12.933863, 77.584263",Karnataka,Bengaluru Urban,Allopathic,12.933863,77.584263
D.G.Hospital,Padmanabhanagar,"12.9714646, 77.5815375",Karnataka,Bengaluru Urban,Allopathic,12.9714646,77.5815375
Devi Eye Hospital,"434, 18th Main, 80 Feet Road, 6th Block, Opposite Koramangala Bus Depot, Koramangala","12.9279232, 77.6271078",Karnataka,Bengaluru Urban,Allopathic,12.9279232,77.6271078
Divya Drishti Eye Hospital,"966/ 22, Service Road, RPC Layout, Vijayanagar, Opposite Syndicate Bank","12.958047, 77.5341765",Karnataka,Bengaluru Urban,Allopathic,12.958047,77.5341765
Dr.Zamindar Microsurgical Eye Centre,"No.1013, 1st Block, 3 Rd Cross, Hrbr Layout, Kalyan Nagar","13.0256425, 77.6366197",Karnataka,Bengaluru Urban,Allopathic,13.0256425,77.6366197
Dr. T.V.Ramesh Piles Hospital,"1st Main Road, 7th Cross, Ganganagar","13.025502, 77.5576219",Karnataka,Bengaluru Urban,Allopathic,13.025502,77.5576219
"Fortis Hospital, Nagarbhavi","No 23, 80 Feet Road, Gurukrupa Layout","12.920683, 77.556885",Karnataka,Bengaluru Urban,Allopathic,12.920683,77.556885
Garden City Hospital,"132/18, 22nd Cross, Jayanagar, 3 rd Block","12.933219, 77.5815604",Karnataka,Bengaluru Urban,Allopathic,12.933219,77.5815604
Gayathri Hospital,"91, Magadi Chord Road","12.974333, 77.542641",Karnataka,Bengaluru Urban,Allopathic,12.974333,77.542641
HCG Bengaluru Institute Of Oncology,"44-45/2, 2nd Cross Raja Ram Mohan","12.953321, 77.531756",Karnataka,Bengaluru Urban,Allopathic,12.953321,77.531756
"HCG, Koramangala","88, 17th, A Main, 2nd Cross, 5th Block, Koramangala","12.9350101, 77.6312173",Karnataka,Bengaluru Urban,Allopathic,12.9350101,77.6312173
Hi Tech Kidney Stone Hospital,"240, 32nd Cross, 7 Th Block","12.927046, 77.579154",Karnataka,Bengaluru Urban,Allopathic,12.927046,77.579154
Hitech Kidney Stone Hospital,"No.6/7, Crescent Road Cross, Kumar Park East","12.9917169, 77.5664805",Karnataka,Bengaluru Urban,Allopathic,12.9917169,77.5664805
I-Aim Healthcare Centre,"74/2, Jarakabande Kaval (Behind CRPF Campus), Post Attur, Via Yelahanka","13.1004849, 77.5940134",Karnataka,Bengaluru Urban,Allopathic,13.1004849,77.5940134
Jayashree Multispeciality Hospital,"25, 26, 27, 1st Cross Block","12.9993935, 77.540421",Karnataka,Bengaluru Urban,Allopathic,12.9993935,77.540421
Jeevani Health And Medicare Private Limited,"No.11/2, Magadi Main Road, Agrahara Dasarahalli","12.98061, 77.538619",Karnataka,Bengaluru Urban,Allopathic,12.98061,77.538619
Karthik Nethralaya,"89, 7th cross, N R Colony, Near Bull temple","12.9656578, 77.5652661",Karnataka,Bengaluru Urban,Allopathic,12.9656578,77.5652661
Kids Clinic India Pvt.Ltd.- Cloudnine,"No.47, 11th Main, 17th Cross, Malleshwaram","13.0082512, 77.5632061",Karnataka,Bengaluru Urban,Allopathic,13.0082512,77.5632061
Kusuma Hospital,"237 / 37, 10 Th Main, Nagendra Block","12.9204899, 77.5515107",Karnataka,Bengaluru Urban,Allopathic,12.9204899,77.5515107
Lalitha Healthcare Pvt.Ltd.(A Fortis Network Hospital),"No - 65, 1st Main, Seshadripuram","12.9785849, 80.2320987",Karnataka,Bengaluru Urban,Allopathic,12.9785849,80.2320987
M.S. Ramaiah Memorial Hospitals(Only For Corporate),"M S R I T Nagar, New Bel Road","13.0344064, 77.5682976",Karnataka,Bengaluru Urban,Allopathic,13.0344064,77.5682976
M.G. Speciality Health Care (A Unit Of Mgmi Hospitals(India) Pvt Ltd),"5/2, 13th Cross, Hosur Road, Wilson Garden","12.945783, 77.59732",Karnataka,Bengaluru Urban,Allopathic,12.945783,77.59732
M.S. Ramaiah Harsha Hospital,"193/4m Sondekoppa Circle, N.H.-4, Nelamangala","13.0410322, 77.3914939",Karnataka,Bengaluru Urban,Allopathic,13.0410322,77.3914939
M.S.R.Narayana Hrudayalaya,M.S.Ramaiah Memorial Hospital,"17.3337789, 77.9034879",Karnataka,Bengaluru Urban,Allopathic,17.3337789,77.9034879
Mahaveer Eye Hospital Private Limited,"No.02, Sirur Park Road, Seshadripuram","12.9931308, 77.5728546",Karnataka,Bengaluru Urban,Allopathic,12.9931308,77.5728546
Mallige Medical Centre,"31/32, Crescent Road","12.9851615, 77.5803852",Karnataka,Bengaluru Urban,Allopathic,12.9851615,77.5803852
Medikeris Superspecaility Ent Centre,"No-9/91, Govindappa Road, Basavana Gudi","12.946587, 77.5722657",Karnataka,Bengaluru Urban,Allopathic,12.946587,77.5722657
Narayana Multispeciality Hospital(A Unit Of Narayana Hrudayalaya Pvt Ltd),"Ca Site No 1, Basant Health Centre Building, 18th Main, Opposite Hsr Club","36.778261, -119.4179324",Karnataka,Bengaluru Urban,Allopathic,36.778261,-119.4179324
"Narayana Nethralaya
","No.121/C, Chord Road, Rajajinagar 1st `R`Block","13.011531, 77.552046",Karnataka,Bengaluru Urban,Allopathic,13.011531,77.552046
Nature Cure Hospital,"No.1537/1, 9th Main Road, 3rd Block, Jayanagar","12.933267, 77.584489",Karnataka,Bengaluru Urban,Allopathic,12.933267,77.584489
Neha Prakash Hospital,"8, V Phase, 6th Cross, New Town","28.4689118, 77.1411003",Karnataka,Bengaluru Urban,Allopathic,28.4689118,77.1411003
Nethradhama Super Speciality Eye Hospital,"256/14, Kanakapura Main Road, 
7th Block, Jayanagar","12.925255, 77.577359",Karnataka,Bengaluru Urban,Allopathic,12.925255,77.577359
Nethradhama Superspeciality Eye Hospital,"66, Indiranagar Double Road, Hal 2nd Stage","12.97344, 77.635628",Karnataka,Bengaluru Urban,Allopathic,12.97344,77.635628
"Nova Medical Center, Sadashiv Nagar","No 222/14, 5 Th Main Bellary Road, Sadashivnagar","13.0067174, 77.5814238",Karnataka,Bengaluru Urban,Allopathic,13.0067174,77.5814238
Nu Hospitals,"C.A.6, 11th Cross, 15th Main, Padmanabhanagar","12.9091748, 77.597458",Karnataka,Bengaluru Urban,Allopathic,12.9091748,77.597458
Padmabhushan Dr.M.C.Modi Charitable Eye Hospital,"Dr.M.C.Modi Road, Mahalakshmipuram","13.0122294, 77.6050075",Karnataka,Bengaluru Urban,Allopathic,13.0122294,77.6050075
"Panacea Hospital, Nagarabhavi","611 /612, Nagarabhavi Main Road","12.9617571, 77.5216056",Karnataka,Bengaluru Urban,Allopathic,12.9617571,77.5216056
Panacea Hospitals Private Limited,"334, 3rd Stage, 4th Block, Basaveshwaranagar","12.9935833, 77.5342741",Karnataka,Bengaluru Urban,Allopathic,12.9935833,77.5342741
Parimala Speciality Hospital,"12/13, Bilekahalli, Bannerghatta Road","12.8594543, 77.5917489",Karnataka,Bengaluru Urban,Allopathic,12.8594543,77.5917489
People Tree Hospitals,"2, Tumkur Road, Goreguntepalya","13.1582339, 77.32569",Karnataka,Bengaluru Urban,Allopathic,13.1582339,77.32569
Prabha Eye Clinic and Research Centre,"504, 40th Cross Road, Jayanagar","12.919731, 77.575085",Karnataka,Bengaluru Urban,Allopathic,12.919731,77.575085
Prashanth Hospital,"90-D, Bommanahalli Circle, Hosur road","12.9216826, 77.6200305",Karnataka,Bengaluru Urban,Allopathic,12.9216826,77.6200305
Pristine Hospital,"No.877, Modi Hospital Road, West of Chord Road, II Stage Extension","12.9978747, 77.546252",Karnataka,Bengaluru Urban,Allopathic,12.9978747,77.546252
Punya Hospital,"52 /10 80 Ft Road, Khb Colony Basaveshwaranagar","12.9862578, 77.5374814",Karnataka,Bengaluru Urban,Allopathic,12.9862578,77.5374814
Raksha Multispeciality Hospital,"141/142, 1st Main, Krishnandanagar, Khb Colony","12.9861693, 77.5348568",Karnataka,Bengaluru Urban,Allopathic,12.9861693,77.5348568
Ravi Kirloskar Memorial Hospital,"No.19, 2nd Main Road, 1st Phase, Peenya Industrial Area","12.9594745, 77.560953",Karnataka,Bengaluru Urban,Allopathic,12.9594745,77.560953
Retina Institute Of Karnatakaa,"122, 5th Main Road, Chamarajpet","12.9567051, 77.5626974",Karnataka,Bengaluru Urban,Allopathic,12.9567051,77.5626974
Sagar Hospitals,"DSI, Shavige Malleshwara Hills, Kumaraswamy Layout, Banashankari","12.9254533, 77.546757",Karnataka,Bengaluru Urban,Allopathic,12.9254533,77.546757
Samprathi Eye Hospital And Squint Centre,"111 Railway Parallel Road, 7 Th Cross, Kumara Park (W)","13.0073714, 77.5601893",Karnataka,Bengaluru Urban,Allopathic,13.0073714,77.5601893
Sankalp Netralaya and Polyclinic,"85/1, 19th Main Hsr Layout, Sector 1","12.9187631, 77.6449186",Karnataka,Bengaluru Urban,Allopathic,12.9187631,77.6449186
Sankara Eye Hospital,"Varthur Main Road, Kundalahalli Gate, Marahahalli-White Field Road","12.9583404, 77.7155779",Karnataka,Bengaluru Urban,Allopathic,12.9583404,77.7155779
Sapthagiri Hospital,"15, Hesaraghatta Main Road","13.0730767, 77.5030755",Karnataka,Bengaluru Urban,Allopathic,13.0730767,77.5030755
Sarojini Hospital,"39/2, Yash Avenue, 8th Mile Circle, Nh 4, T.Dasarahalli","13.0506057, 77.5118463",Karnataka,Bengaluru Urban,Allopathic,13.0506057,77.5118463
Sevakshetra Hospital,"27th Cross, Sevakshetra Hospital Road, B.S.K.II Stage","12.9714646, 77.5815375",Karnataka,Bengaluru Urban,Allopathic,12.9714646,77.5815375
Shanbhag Nursing Home,"6, Thimmaiah Layout, 1st Main 3rd D Cross, 3rd Stage, 2nd Block","12.9236955, 77.5513525",Karnataka,Bengaluru Urban,Allopathic,12.9236955,77.5513525
Shree Kalabyraveswara Swamy Ayurveda Medical College And Hospital,"No.10, Pipeline Road, RPC Layout, Vijayanagar, 2nd Stage","12.967283, 77.5447472",Karnataka,Bengaluru Urban,Ayush/ Ayurveda,12.967283,77.5447472
Shri Krishna Sevashrama Hospital,"523, 10th Main, 
45th Cross, 5th Block, Jayanagar","12.9172801, 77.5850057",Karnataka,Bengaluru Urban,Allopathic,12.9172801,77.5850057
Sri Sai North Side Hospital,"8, G Block, 60 Feet Road","12.9723418, 77.5147716",Karnataka,Bengaluru Urban,Allopathic,12.9723418,77.5147716
Sri Sai Ram Hospital,No.6 J.C.Industrial Area,"29.2660313, 47.8625634",Karnataka,Bengaluru Urban,Allopathic,29.2660313,47.8625634
Sri Venkateshwara Hospitals,"86 Hosur Main Road, Madivala","12.9325662, 77.6125214",Karnataka,Bengaluru Urban,Allopathic,12.9325662,77.6125214
St. Johns Hospital,"St.Johs Medical College Hospital, Johnnagar","12.9288874, 77.6131577",Karnataka,Bengaluru Urban,Allopathic,12.9288874,77.6131577
St. Martha'S Heart Center (Managed By Narayana Health),"Office No-05, Nrupathunga Road","12.9713221, 77.5869159",Karnataka,Bengaluru Urban,Allopathic,12.9713221,77.5869159
"St. John?S Medical College Hospital
","John nagar, Koramangala","12.9309785, 77.6199608",Karnataka,Bengaluru Urban,Allopathic,12.9309785,77.6199608
St. Marthas Hospital,Nrupathunga Road,"12.969805, 77.587251",Karnataka,Bengaluru Urban,Allopathic,12.969805,77.587251
St. Philomina?S Hospital,"No.1, Neelasandra Road","12.9624895, 77.611882",Karnataka,Bengaluru Urban,Allopathic,12.9624895,77.611882
St. Theresa'S Hospital,Rajajinagar,"13.0061399, 77.5537558",Karnataka,Bengaluru Urban,Allopathic,13.0061399,77.5537558
Suguna Hospital,"1A/87, Dr.Rajkumar Road, 4th N Block, Rajajinagar","12.988145, 77.560033",Karnataka,Bengaluru Urban,Allopathic,12.988145,77.560033
Sun Orthopaedic Hospital,"24, Brindaban Nagar, 80 Feet Main Road, Mathikere","13.0267169, 77.6312652",Karnataka,Bengaluru Urban,Allopathic,13.0267169,77.6312652
The Bengaluru Hospital,"202, Rashtriya Vidyalaya road, 
Basavanagudi","12.937683, 77.580401",Karnataka,Bengaluru Urban,Allopathic,12.937683,77.580401
The Eye Foundation,"79/5, Outer Ring Road, Bellandur","12.9233078, 77.672381",Karnataka,Bengaluru Urban,Allopathic,12.9233078,77.672381
Trinity Hospital And Heart Foundation,"Near R.V.Teachers College Circle, Basavanagudi","12.9436431, 77.5799234",Karnataka,Bengaluru Urban,Allopathic,12.9436431,77.5799234
"Vasan Eye Care Hospital, Banaswadi","205-4c, 4th Cross, 3 Road Block","12.9174767, 77.5460289",Karnataka,Bengaluru Urban,Allopathic,12.9174767,77.5460289
"Vasan Eye Care Hospital, Hsr Layout","1127/A, 7th Sector, Near Bda Complex","12.9618305, 77.6378198",Karnataka,Bengaluru Urban,Allopathic,12.9618305,77.6378198
"Vasan Eye Care Hospital, Jayanagar","No.28 and 29, 7 Th Main Diagonal Road, Jayanagar","12.9290883, 77.5819886",Karnataka,Bengaluru Urban,Allopathic,12.9290883,77.5819886
"Vasan Eye Care Hospital, Koramangala","No.897/C, 80 Feet Road, 6th Block, Koramangala","12.9387563, 77.6260423",Karnataka,Bengaluru Urban,Allopathic,12.9387563,77.6260423
"Vasan Eye Care Hospital, Marathalli","No.25/5 D, Outer Ring Road, Marathalli","12.9167541, 77.6111065",Karnataka,Bengaluru Urban,Allopathic,12.9167541,77.6111065
"Vasan Eye Care Hospital, Nagarabhavi","No-5, 20 Th Cross, Malagala Under Pass Ring Road","12.9746047, 77.514911",Karnataka,Bengaluru Urban,Allopathic,12.9746047,77.514911
"Vasan Eye Care Hospital, R.T.Nagar","No.533, 108 Bus Stop, Ganganagar","13.0150223, 77.6511543",Karnataka,Bengaluru Urban,Allopathic,13.0150223,77.6511543
"Vasan Eye Care Hospital, Rajarajeswari Nagar","483, 16 Th Cross, 8 Th Main","12.9451479, 77.5977548",Karnataka,Bengaluru Urban,Allopathic,12.9451479,77.5977548
Vijaya Ent Care Centre,"Super Speciality Otology Centre, No.1, 9th Cross Malleshwaram","13.0000884, 77.5670569",Karnataka,Bengaluru Urban,Allopathic,13.0000884,77.5670569
Vijayashree Hospitals,"3, Gottigere, Bannerghatta Main Road","12.8561618, 77.5889291",Karnataka,Bengaluru Urban,Allopathic,12.8561618,77.5889291
Vinayaka Hospital,"110, 1st Main, Sbm Colony, Bsk 1st Stage Hanumantha Nagar","13.0296311, 77.5911303",Karnataka,Bengaluru Urban,Allopathic,13.0296311,77.5911303
Vishwabharathi Hospital Private Limited,"No.10/4, 3rd Main Road, Hanumanthanagar","12.9247108, 77.5438845",Karnataka,Bengaluru Urban,Allopathic,12.9247108,77.5438845
Vydehi Institute Of Medical Sciencs And Research Center,"82, Epip Area, White Field","12.9722607, 77.7175003",Karnataka,Bengaluru Urban,Allopathic,12.9722607,77.7175003
Yashomati Hospitals Pvt.Ltd.,"2371 / 3, Hal Airport Varthur Road","12.9556983, 77.7112837",Karnataka,Bengaluru Urban,Allopathic,12.9556983,77.7112837
Yellamma Dasappa Hospital,"25, Andree Road, Shanti Nagar","12.9607569, 77.594633",Karnataka,Bengaluru Urban,Allopathic,12.9607569,77.594633
Zion Hospital And Research Centre Pvt.Ltd.,"No.1, 1 Cross Rananurthy Road","13.014682, 77.6702166",Karnataka,Bengaluru Urban,Allopathic,13.014682,77.6702166
Ananya Hospital,"No.389/44, 19th Main, 1st Block, Rajajinagar","12.999754, 77.550445",Karnataka,Bengaluru Urban,Allopathic,12.999754,77.550445
Columbia Asia Referral Hospital,"26/4, Brigade Gateway, Malleswaram West","13.0123801, 77.5570553",Karnataka,Bengaluru Urban,Allopathic,13.0123801,77.5570553
"Kidwai Cancer Institute, Bangalore",Dr.M.H Marigowda Road,"12.9372107, 77.6018794",Karnataka,Bengaluru Urban,Allopathic,12.9372107,77.6018794
BGS Global Hospitals,"67, Uttarahalli Road, Kengeri","12.9026124, 77.519571",Karnataka,Bengaluru Urban,Allopathic,12.9026124,77.519571
Vagus Super Speciality Hospital,"6/7/8, 4th Main, 18th Cross, Chitrashilpi Venkatappa Road, Malleshwaram","13.008767, 77.5657871",Karnataka,Bengaluru Urban,Allopathic,13.008767,77.5657871
Mallya Hospital,No.2 Vittal Mallya Road,"12.9679749, 77.595018",Karnataka,Bengaluru Urban,Allopathic,12.9679749,77.595018
"Nova Specialty Surgery Center, Koramangala","Opus, 143, 1st Cross, 5th Block, Koramangala","12.9337039, 77.6214323",Karnataka,Bengaluru Urban,Allopathic,12.9337039,77.6214323
Sri Jayadeva Institute of Cardiovascular Sciences and Research,"9th Block, Bannerghatta Road, Jayanagar","12.9168029, 77.6001668",Karnataka,Bengaluru Urban,Allopathic,12.9168029,77.6001668
Bangalore Baptist Hospital,"Hebbal, Bellary Road","12.9715987, 77.5945627",Karnataka,Bengaluru Urban,Allopathic,12.9715987,77.5945627
Bangalore Institute of Oncology,"No 8, P.Kalinga Rao Road, Sampangiram Nagar","12.9647552, 77.5908972",Karnataka,Bengaluru Urban,Allopathic,12.9647552,77.5908972
Bowring and Lady Curzon Hospital,"Lady Curzon Road, Shivaji Nagar","12.9832684, 77.60342",Karnataka,Bengaluru Urban,Allopathic,12.9832684,77.60342
Vikram Hospital,"No.71/1, Millers Road","-37.870742, 144.83787",Karnataka,Bengaluru Urban,Allopathic,-37.870742,144.83787
Shekar Nethralaya,"3rd Phase, 633, 100 Feet Ring Road, J.P.Nagar","12.906406, 77.5958928",Karnataka,Bengaluru Urban,Allopathic,12.906406,77.5958928
